"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 13 17:42:58 GMT 2024","Mon May 13 17:43:00 GMT 2024","2712","tests","test_edit","","","","test_edit",""
"passed","Mon May 13 17:43:03 GMT 2024","Mon May 13 17:43:04 GMT 2024","691","tests","test_login","","","","test_failed_login",""
"passed","Mon May 13 17:43:02 GMT 2024","Mon May 13 17:43:03 GMT 2024","690","tests","test_login","","","","test_successful_login",""
"passed","Mon May 13 17:42:55 GMT 2024","Mon May 13 17:42:56 GMT 2024","813","tests","test_edit","","","","test_autocomplete",""
"passed","Mon May 13 17:43:02 GMT 2024","Mon May 13 17:43:02 GMT 2024","44","tests","test_home","","","","test_successful_login",""
