"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 12:56:52 GMT 2024","Fri Jun 07 12:56:52 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 07 12:57:16 GMT 2024","Fri Jun 07 12:57:16 GMT 2024","688","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 07 12:57:17 GMT 2024","Fri Jun 07 12:57:18 GMT 2024","694","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 12:56:52 GMT 2024","Fri Jun 07 12:56:52 GMT 2024","326","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"broken","Fri Jun 07 12:56:51 GMT 2024","Fri Jun 07 12:56:52 GMT 2024","779","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 07 12:57:15 GMT 2024","Fri Jun 07 12:57:15 GMT 2024","37","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 07 12:57:11 GMT 2024","Fri Jun 07 12:57:14 GMT 2024","2265","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 12:57:09 GMT 2024","Fri Jun 07 12:57:10 GMT 2024","1142","tests","test_edit","","","","test_autocomplete",""
