"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 22:07:41 GMT 2024","Sat Jun 08 22:07:41 GMT 2024","302","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"broken","Sat Jun 08 22:07:42 GMT 2024","Sat Jun 08 22:07:42 GMT 2024","0","tests","test_edit","","","","test_edit",""
"passed","Sat Jun 08 22:07:44 GMT 2024","Sat Jun 08 22:07:45 GMT 2024","705","tests","test_login","","","","test_successful_login",""
"broken","Sat Jun 08 22:07:41 GMT 2024","Sat Jun 08 22:07:41 GMT 2024","0","tests","test_edit","","","","test_autocomplete",""
"broken","Sat Jun 08 22:07:43 GMT 2024","Sat Jun 08 22:07:43 GMT 2024","0","tests","test_home","","","","test_successful_login",""
"passed","Sat Jun 08 22:07:40 GMT 2024","Sat Jun 08 22:07:41 GMT 2024","794","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sat Jun 08 22:07:41 GMT 2024","Sat Jun 08 22:07:41 GMT 2024","30","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Sat Jun 08 22:07:41 GMT 2024","Sat Jun 08 22:07:41 GMT 2024","318","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Sat Jun 08 22:07:45 GMT 2024","Sat Jun 08 22:07:46 GMT 2024","690","tests","test_login","","","","test_failed_login",""
