"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 22:15:31 GMT 2024","Sat Jun 08 22:15:31 GMT 2024","681","tests","test_login","","","","test_successful_login",""
"passed","Sat Jun 08 22:15:21 GMT 2024","Sat Jun 08 22:15:22 GMT 2024","747","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sat Jun 08 22:15:22 GMT 2024","Sat Jun 08 22:15:22 GMT 2024","303","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sat Jun 08 22:15:26 GMT 2024","Sat Jun 08 22:15:29 GMT 2024","2471","tests","test_edit","","","","test_edit",""
"passed","Sat Jun 08 22:15:22 GMT 2024","Sat Jun 08 22:15:22 GMT 2024","16","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Sat Jun 08 22:15:22 GMT 2024","Sat Jun 08 22:15:22 GMT 2024","309","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Sat Jun 08 22:15:24 GMT 2024","Sat Jun 08 22:15:25 GMT 2024","665","tests","test_edit","","","","test_autocomplete",""
"passed","Sat Jun 08 22:15:30 GMT 2024","Sat Jun 08 22:15:30 GMT 2024","40","tests","test_home","","","","test_successful_login",""
"passed","Sat Jun 08 22:15:32 GMT 2024","Sat Jun 08 22:15:33 GMT 2024","680","tests","test_login","","","","test_failed_login",""
