"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 21:48:14 GMT 2024","Sat Jun 08 21:48:15 GMT 2024","822","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sat Jun 08 21:48:23 GMT 2024","Sat Jun 08 21:48:23 GMT 2024","43","tests","test_home","","","","test_successful_login",""
"passed","Sat Jun 08 21:48:15 GMT 2024","Sat Jun 08 21:48:15 GMT 2024","18","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Sat Jun 08 21:48:24 GMT 2024","Sat Jun 08 21:48:24 GMT 2024","688","tests","test_login","","","","test_successful_login",""
"passed","Sat Jun 08 21:48:17 GMT 2024","Sat Jun 08 21:48:18 GMT 2024","670","tests","test_edit","","","","test_autocomplete",""
"passed","Sat Jun 08 21:48:19 GMT 2024","Sat Jun 08 21:48:22 GMT 2024","2494","tests","test_edit","","","","test_edit",""
"passed","Sat Jun 08 21:48:15 GMT 2024","Sat Jun 08 21:48:15 GMT 2024","303","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sat Jun 08 21:48:25 GMT 2024","Sat Jun 08 21:48:26 GMT 2024","682","tests","test_login","","","","test_failed_login",""
"passed","Sat Jun 08 21:48:15 GMT 2024","Sat Jun 08 21:48:15 GMT 2024","316","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
