"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 07 16:14:11 GMT 2024","Fri Jun 07 16:14:11 GMT 2024","0","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 07 16:14:24 GMT 2024","Fri Jun 07 16:14:25 GMT 2024","711","tests","test_login","","","","test_failed_login",""
"broken","Fri Jun 07 16:14:20 GMT 2024","Fri Jun 07 16:14:20 GMT 2024","0","tests","test_home","","","","test_successful_login",""
"broken","Fri Jun 07 16:14:19 GMT 2024","Fri Jun 07 16:14:19 GMT 2024","0","tests","test_edit","","","","test_edit",""
"passed","Fri Jun 07 16:14:22 GMT 2024","Fri Jun 07 16:14:23 GMT 2024","979","tests","test_login","","","","test_successful_login",""
